:Created 2020 Jan 30 1846 EST
# source: https://services.swpc.noaa.gov/json/goes/primary/differential-protons-1-day.json
# P1       1020-1860 keV
# P2A      1900-2300 keV
# P2B      2310-3340 keV
# P3       3400-6480 keV
# P4      5840-11000 keV
# P5     11640-23270 keV
# P6     25900-38100 keV
# P7     40300-73400 keV
# P8A    83700-98500 keV
# P8B   99900-118000 keV
# P8C  115000-143000 keV
# P9   160000-242000 keV
# P10  276000-404000 keV
# Source: GOES-16

                                         5-minute GOES-16 Energetic Proton Flux Channels
                                         
channel                 P1       P2A      P2B      P3       P4       P5       P6       P7       P8A      P8B      P8C      P9       P10  
time_tag                                                                                                                                 
2020-01-30T21:40:00Z 9.13e-01 7.67e-02 2.98e-02 0.00e+00 3.57e-02 4.84e-03 0.00e+00 1.47e-03 8.30e-04 1.58e-03 1.04e-03 3.68e-04 4.10e-04
2020-01-30T21:45:00Z 8.76e-01 7.67e-02 2.98e-02 0.00e+00 1.78e-02 9.67e-03 5.26e-04 2.31e-03 1.19e-04 1.77e-03 4.14e-04 5.19e-04 2.67e-04
2020-01-30T21:50:00Z 6.21e-01 0.00e+00 0.00e+00 0.00e+00 4.16e-02 4.83e-03 5.26e-04 2.10e-03 7.11e-04 1.58e-03 8.28e-04 5.52e-04 3.08e-04
2020-01-30T21:55:00Z 6.57e-01 0.00e+00 0.00e+00 1.10e-02 4.16e-02 1.45e-02 0.00e+00 2.10e-03 1.07e-03 1.87e-03 9.32e-04 6.19e-04 2.46e-04
2020-01-30T22:00:00Z 5.47e-01 0.00e+00 0.00e+00 0.00e+00 2.97e-02 9.66e-03 5.26e-04 3.57e-03 7.11e-04 1.58e-03 7.25e-04 3.85e-04 4.31e-04
2020-01-30T22:05:00Z 5.83e-01 0.00e+00 0.00e+00 1.09e-02 1.19e-02 2.41e-03 1.05e-03 2.10e-03 5.93e-04 1.87e-03 1.55e-03 6.02e-04 1.85e-04
2020-01-30T22:10:00Z 4.74e-01 0.00e+00 0.00e+00 1.09e-02 5.93e-03 1.45e-02 5.26e-04 1.05e-03 1.07e-03 1.87e-03 4.14e-04 5.86e-04 4.31e-04
2020-01-30T22:15:00Z 4.00e-01 0.00e+00 0.00e+00 0.00e+00 1.19e-02 2.41e-03 0.00e+00 2.31e-03 1.07e-03 1.58e-03 7.25e-04 4.35e-04 2.67e-04
2020-01-30T22:20:00Z 2.91e-01 0.00e+00 0.00e+00 0.00e+00 2.37e-02 1.21e-02 1.58e-03 1.47e-03 1.19e-03 1.77e-03 6.21e-04 5.19e-04 3.28e-04
2020-01-30T22:25:00Z 1.82e-01 0.00e+00 0.00e+00 0.00e+00 4.15e-02 7.23e-03 0.00e+00 1.47e-03 7.11e-04 1.87e-03 4.14e-04 6.69e-04 4.10e-04
2020-01-30T22:30:00Z 2.18e-01 0.00e+00 0.00e+00 0.00e+00 1.78e-02 4.82e-03 2.63e-03 1.26e-03 1.19e-03 1.67e-03 5.18e-04 4.18e-04 3.49e-04
2020-01-30T22:35:00Z 4.00e-01 0.00e+00 0.00e+00 0.00e+00 0.00e+00 7.22e-03 1.05e-03 1.26e-03 8.30e-04 7.88e-04 6.21e-04 3.85e-04 4.51e-04
2020-01-30T22:40:00Z 3.63e-01 0.00e+00 0.00e+00 0.00e+00 5.91e-03 4.81e-03 1.05e-03 1.05e-03 1.07e-03 1.87e-03 5.18e-04 6.86e-04 2.87e-04
2020-01-30T22:45:00Z 1.82e-01 0.00e+00 0.00e+00 0.00e+00 5.91e-03 1.20e-02 0.00e+00 1.68e-03 3.56e-04 1.87e-03 6.21e-04 5.86e-04 2.87e-04
2020-01-30T22:50:00Z 1.45e-01 0.00e+00 0.00e+00 0.00e+00 1.18e-02 0.00e+00 0.00e+00 2.31e-03 4.74e-04 1.77e-03 7.25e-04 5.19e-04 3.08e-04
2020-01-30T22:55:00Z 2.17e-01 0.00e+00 2.95e-02 1.09e-02 5.90e-03 9.58e-03 2.10e-03 1.05e-03 7.11e-04 1.77e-03 9.32e-04 4.85e-04 2.05e-04
2020-01-30T23:00:00Z 1.09e-01 7.61e-02 0.00e+00 1.09e-02 1.77e-02 4.80e-03 5.26e-04 2.73e-03 8.30e-04 1.87e-03 6.21e-04 5.19e-04 1.64e-04
2020-01-30T23:05:00Z 2.54e-01 0.00e+00 0.00e+00 0.00e+00 1.18e-02 4.80e-03 0.00e+00 1.68e-03 8.30e-04 1.48e-03 1.04e-03 4.35e-04 2.67e-04
2020-01-30T23:10:00Z 1.45e-01 7.61e-02 0.00e+00 0.00e+00 1.18e-02 9.59e-03 1.05e-03 2.31e-03 1.07e-03 1.87e-03 8.28e-04 3.35e-04 3.69e-04
2020-01-30T23:15:00Z 1.45e-01 7.61e-02 0.00e+00 0.00e+00 1.77e-02 4.80e-03 0.00e+00 6.29e-04 9.48e-04 1.48e-03 1.24e-03 6.19e-04 4.92e-04
2020-01-30T23:20:00Z 3.62e-02 1.52e-01 2.95e-02 0.00e+00 2.95e-02 9.59e-03 0.00e+00 2.10e-03 1.30e-03 1.77e-03 4.14e-04 3.85e-04 4.10e-04
2020-01-30T23:25:00Z 7.25e-02 0.00e+00 0.00e+00 1.09e-02 1.18e-02 1.68e-02 5.26e-04 1.89e-03 1.78e-03 1.97e-03 4.14e-04 4.52e-04 4.10e-04
2020-01-30T23:30:00Z 1.45e-01 0.00e+00 0.00e+00 0.00e+00 1.18e-02 2.40e-03 5.26e-04 1.47e-03 7.11e-04 2.07e-03 5.18e-04 4.02e-04 3.28e-04
2020-01-30T23:35:00Z 0.00e+00 0.00e+00 0.00e+00 1.09e-02 1.77e-02 2.40e-03 0.00e+00 1.89e-03 5.93e-04 1.38e-03 5.18e-04 4.18e-04 2.26e-04
